➜  ~ launchctl list
PID	Status	Label
-	0	com.apple.controlstrip
984	0	com.apple.financed
-	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
-	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
1042	0	com.apple.scopedbookmarksagent.xpc
-	0	com.apple.ensemble
1022	0	com.apple.ReportCrash
-	0	com.apple.keychainsharingmessagingd
1391	0	com.apple.biomesyncd
958	0	com.apple.UsageTrackingAgent
-	0	com.apple.email.maild
1150	0	application.com.apple.TextEdit.<REMOVED>
934	0	com.apple.donotdisturbd
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
1055	0	com.apple.Maps.mapspushd
-	0	com.apple.voicememod
1303	0	com.apple.gamed
-	0	com.apple.STMUIHelper
947	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
-	0	com.apple.mobiledeviceupdater
-	0	com.apple.helpd
-	0	com.apple.quicklook.ui.helper
925	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
1095	0	com.apple.passd
-	0	com.apple.DictationIM
1025	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
-	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
1461	0	com.apple.podcasts.PodcastContentService
1076	0	com.apple.CoreAuthentication.agent
931	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
1279	0	com.apple.accessibility.heard
1280	0	com.apple.corespeechd
-	0	com.apple.AMPSystemPlayerAgent
1207	0	com.apple.itunescloudd
-	0	com.apple.scrod
1162	0	com.apple.spindump_agent
-	0	com.apple.AquaAppearanceHelper
-	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
-	0	com.apple.bookdatastored
1015	0	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
-	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
-	0	com.apple.XProtect.agent.scan.startup
1114	0	com.apple.amsengagementd
-	0	com.apple.AirPortBaseStationAgent
1430	0	com.apple.proactiveeventtrackerd
-	0	com.apple.proactived
910	0	com.apple.universalaccessd
959	0	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
1260	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.recentsd
-	0	com.apple.transparencyStaticKey
1421	0	com.apple.sirittsd
1046	0	com.apple.WiFiVelocityAgent
923	0	com.apple.usernoted
1099	0	com.apple.geodMachServiceBridge
-	0	com.apple.Safari.History
-	0	com.apple.translationd
-	0	com.apple.AddressBook.abd
1009	0	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
970	0	com.apple.contactsd
1118	0	com.apple.swcd
1293	0	com.apple.AirPlayUIAgent
1157	0	application.com.apple.systempreferences.<REMOVED>
1433	0	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.dt.previewsd
-	0	com.apple.shazamd
1006	0	com.apple.corespotlightd
1215	0	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
1091	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
1198	0	com.apple.Spotlight
1104	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
-	0	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
1274	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
932	0	com.apple.carboncore.csnameddata
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
895	0	com.apple.distnoted.xpc.agent
1052	0	com.apple.geod
